,Model,Dataset,RMSE,Training Time
0,LGBMRegressor,dataset_1,"[257.43338436 391.27117797 235.41400044 ... 299.55058863 325.92514036
 244.09263615]",1.2249970436096191
1,LGBMRegressor,dataset_2,"[257.43338436 391.27117797 235.41400044 ... 299.55058863 325.92514036
 244.09263615]",1.1248717308044434
2,LGBMRegressor,dataset_3,"[240.0414543  373.92650561 333.43153737 ... 296.13436859 316.92947258
 231.90286752]",0.667426586151123
3,LGBMRegressor,dataset_4,"[255.37759553 390.49917802 236.47984502 ... 306.67560917 333.19754086
 245.7219653 ]",0.8209717273712158
4,XGBRegressor,dataset_1,[253.64839 397.09702 247.60767 ... 430.22803 339.7847  247.78813],1.4029760360717773
5,XGBRegressor,dataset_2,[253.64839 397.09702 247.60767 ... 430.22803 339.7847  247.78813],1.1731464862823486
6,XGBRegressor,dataset_3,[173.94583 304.45428 243.39618 ... 191.3177  245.47952 218.6889 ],1.189870834350586
7,XGBRegressor,dataset_4,[257.9846  396.9588  218.35283 ... 305.86508 343.56677 249.95934],1.2750296592712402
8,StackingRegressor,dataset_1,"[255.44774378 399.70962924 242.0832985  ... 378.4657488  336.78947547
 246.05126628]",11.911542415618896
9,StackingRegressor,dataset_2,"[255.44783629 399.73423371 242.08878413 ... 378.54410909 336.80894326
 246.05344514]",12.779252052307129
10,StackingRegressor,dataset_3,"[200.98841461 337.69175784 283.71207647 ... 236.42852584 277.49618488
 223.50738832]",12.88178300857544
11,StackingRegressor,dataset_4,"[257.04508243 399.33628404 225.65224581 ... 308.28787759 342.14875059
 247.96157486]",12.767961978912354
